n,median,sthdme,othdme
2,1,1,1
3,0.743129,0.962673,0.980082
4,0.83813,0.925952,0.951593
5,0.696965,0.90109,0.926365
6,0.776204,0.885141,0.90655
7,0.678916,0.876882,0.890194
8,0.743462,0.868115,0.876625
9,0.669121,0.858458,0.864567
10,0.722931,0.849766,0.854364
11,0.662613,0.841855,0.845352
12,0.709098,0.83454,0.837194
13,0.658941,0.828402,0.83028
14,0.698905,0.82201,0.823282
15,0.655752,0.81682,0.81772
16,0.691778,0.812058,0.812711
17,0.653487,0.807044,0.807524
18,0.685767,0.802686,0.803041
19,0.651505,0.798345,0.798605
20,0.681105,0.794822,0.795
21,0.650254,0.791225,0.791351
22,0.677217,0.788081,0.788172
23,0.648809,0.784212,0.784279
24,0.673666,0.781586,0.781634
25,0.647984,0.778914,0.77895
26,0.670945,0.776315,0.77634
27,0.646553,0.773279,0.773297
28,0.668736,0.771377,0.771389
29,0.646745,0.769215,0.769224
30,0.666292,0.766651,0.766658
31,0.645657,0.764957,0.764962
32,0.664513,0.762707,0.76271
33,0.644754,0.760628,0.760631
34,0.662617,0.75903,0.759032
35,0.644475,0.757103,0.757104
36,0.661418,0.755737,0.755738
37,0.643929,0.754066,0.754067
38,0.659758,0.752281,0.752282
39,0.643873,0.751588,0.751588
40,0.658925,0.749832,0.749833
41,0.64345,0.748537,0.748538
42,0.658608,0.747718,0.747718
43,0.642949,0.745862,0.745862
44,0.657113,0.744749,0.744749
45,0.642501,0.743323,0.743323
46,0.656271,0.74232,0.74232
47,0.642051,0.740993,0.740993
48,0.655623,0.740511,0.740512
49,0.642541,0.739331,0.739331
50,0.654119,0.737717,0.737717
51,0.64202,0.737123,0.737123
52,0.65372,0.735994,0.735994
53,0.642118,0.735283,0.735283
54,0.652913,0.734161,0.734161
55,0.641651,0.733494,0.733494
56,0.652958,0.732811,0.732811
57,0.641758,0.732027,0.732027
58,0.651998,0.730829,0.730829
59,0.640972,0.729908,0.729908
60,0.651547,0.729184,0.729184
61,0.640708,0.72828,0.72828
62,0.651538,0.728211,0.728211
63,0.640773,0.72696,0.72696
64,0.650538,0.726336,0.726336
65,0.640598,0.725472,0.725472
66,0.650171,0.724872,0.724872
67,0.640777,0.724488,0.724488
68,0.649935,0.723781,0.723781
69,0.640546,0.72334,0.72334
70,0.649109,0.722115,0.722115
71,0.640357,0.721751,0.721751
72,0.649215,0.721512,0.721512
73,0.640297,0.720801,0.720801
74,0.649067,0.720247,0.720247
75,0.640239,0.719673,0.719673
76,0.6487,0.719424,0.719424
77,0.640193,0.71852,0.71852
78,0.648119,0.718132,0.718132
79,0.640055,0.717501,0.717501
80,0.647884,0.717188,0.717188
81,0.63989,0.716447,0.716447
82,0.647743,0.716167,0.716167
83,0.639776,0.715508,0.715508
84,0.647477,0.71522,0.71522
85,0.640109,0.714681,0.714681
86,0.646876,0.714002,0.714002
87,0.640133,0.714062,0.714062
88,0.647019,0.713387,0.713387
89,0.63967,0.712898,0.712898
90,0.646768,0.712661,0.712661
91,0.639382,0.711755,0.711755
92,0.646919,0.712214,0.712214
93,0.640056,0.711686,0.711686
94,0.645937,0.710489,0.710489
95,0.639343,0.710439,0.710439
96,0.645867,0.710127,0.710127
97,0.639265,0.709579,0.709579
98,0.646325,0.709797,0.709797
99,0.639406,0.708987,0.708987
100,0.645661,0.708687,0.708687
109,0.639245,0.705767,0.705767
110,0.645096,0.705502,0.705502
119,0.638574,0.702343,0.702343
120,0.644083,0.702395,0.702395
129,0.63901,0.70032,0.70032
130,0.643965,0.700124,0.700124
139,0.638458,0.697589,0.697589
140,0.642907,0.697366,0.697366
149,0.638465,0.695633,0.695633
150,0.642952,0.695835,0.695835
159,0.637999,0.693433,0.693433
160,0.642342,0.693596,0.693596
169,0.638473,0.692332,0.692332
170,0.641793,0.691811,0.691811
179,0.638113,0.690373,0.690373
180,0.64158,0.690265,0.690265
189,0.638022,0.688967,0.688967
190,0.641771,0.689273,0.689273
199,0.638315,0.68797,0.68797
200,0.641501,0.68808,0.68808
249,0.637812,0.682387,0.682387
250,0.640283,0.682276,0.682276
299,0.637426,0.678151,0.678151
300,0.639486,0.678126,0.678126
349,0.637699,0.675648,0.675648
350,0.639258,0.675208,0.675208
399,0.637174,0.672569,0.672569
400,0.638547,0.672308,0.672308
449,0.637122,0.670545,0.670545
450,0.63864,0.670702,0.670702
499,0.637172,0.668948,0.668948
500,0.638125,0.668505,0.668505
600,0.638251,0.666204,0.666204
700,0.637518,0.663471,0.663471
800,0.637849,0.662161,0.662161
900,0.638002,0.660974,0.660974
1000,0.637497,0.659323,0.659323
1500,0.637137,0.655107,0.655107
2000,0.637187,0.652839,0.652839
3000,0.636484,0.649323,0.649323
4000,0.636913,0.648099,0.648099
5000,0.636645,0.646621,0.646621
6000,0.636543,0.645691,0.645691
7000,0.636695,0.645124,0.645124
8000,0.636915,0.644827,0.644827
9000,0.636888,0.644392,0.644392
10000,0.636966,0.644007,0.644007
25000,0.636724,0.641252,0.641252
50000,0.636624,0.639828,0.639828
100000,0.636715,0.638997,0.638997
